shipment_order_no,origin_sub_district_id,destination_sub_district_id,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code,min_sla_api,max_sla_api
TRD2023012506303,2046,6151,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,2,4,REG23,,
TRD2023012506316,2046,6151,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,2,4,REG23,,
TRD2023012506320,2046,52627,Bunigeulis,45556,Siojo,22742,5,7,REG23,,
TRD2023012506330,2046,75992,Bunigeulis,45556,Jenetallasa,92161,5,7,REG23,,
TRD2023012506365,2046,77133,Bunigeulis,45556,Pohan Jae,22474,3,5,REG23,,
TRD2023012506391,2046,5037,Bunigeulis,45556,Sereh,99352,4,6,REG23,,
TRD2023012506419,2046,6151,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,2,4,REG23,,
TRD2023012506428,2046,19402,Bunigeulis,45556,Melai,93727,3,5,REG23,,
TRD2023012506491,2046,19402,Bunigeulis,45556,Melai,93727,3,5,REG23,,
TRD2023012506529,2046,6151,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,2,4,REG23,,
TRD2023012604309,88124,79216,A M P L A S,20148,Sipange Julu,22774,1,3,REG23,,
TRD2023012605401,49964,84885,Grogol,11450,Tegal Harum,80361,1,2,REG23,,
TRD2023012703470,85860,85109,Sukodadi,30154,Padang Mulia,33681,2,3,REG23,,
TRD2023012703788,85513,32988,Kerobokan Kelod,80117,Sarotari,86219,2,3,REG23,,
TRD2023012704929,49964,84885,Grogol,11450,Tegal Harum,80361,1,2,REG23,,
TRD2023012705011,49964,85109,Grogol,11450,Padang Mulia,33681,2,3,REG23,,
TRD2023013006724,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023013006815,85513,12651,Kerobokan Kelod,80117,Faobata,86419,2,3,REG23,,
TRD2023013006856,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023013008436,49964,9439,Grogol,11450,Datar Luas,23654,2,3,REG23,,
TRD2023013106100,49964,84885,Grogol,11450,Tegal Harum,80361,1,2,REG23,,
TRD2023020103472,88124,23805,A M P L A S,20148,Hambawa,22851,3,4,REG23,,
TRD2023020104355,85513,39204,Kerobokan Kelod,80117,Nelerereng,86253,5,6,REG23,,
TRD2023020104744,2046,18683,Bunigeulis,45556,Tablasupa,99353,2,4,REG23,,
TRD2023020105055,2046,28781,Bunigeulis,45556,Bukit Tunggal,73112,2,3,REG23,,
TRD2023020205992,2758,47729,Pekayon Jaya,17148,Penkase Oeleta,85231,2,3,REG23,,
TRD2023020303940,85513,32988,Kerobokan Kelod,80117,Sarotari,86219,2,3,REG23,,
TRD2023020304018,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023020304190,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023020402579,2758,65988,Pekayon Jaya,17148,Klademak,98416,2,4,REG23,,
TRD2023020402964,85513,32988,Kerobokan Kelod,80117,Sarotari,86219,2,3,REG23,,
TRD2023020402977,85513,37143,Kerobokan Kelod,80117,Liselande,86111,10,1,REG23,,
TRD2023020403050,85513,14485,Kerobokan Kelod,80117,Ngalukoja,86381,5,6,REG23,,
TRD2023020606119,88124,38271,A M P L A S,20148,Janji Matogu Ur,22755,1,3,REG23,,
TRD2023020606225,88124,14266,A M P L A S,20148,Sangkar Nihuta,22312,1,2,REG23,,
TRD2023020606811,85513,56000,Kerobokan Kelod,80117,Riang Kemie,86211,5,6,REG23,,
TRD2023020606924,85513,32988,Kerobokan Kelod,80117,Sarotari,86219,2,3,REG23,,
TRD2023020704713,49964,66330,Grogol,11450,Karya Ambalutu,21262,3,6,REG23,,
TRD2023020808940,2758,30929,Pekayon Jaya,17148,Kampung Baru,35149,1,2,REG23,,
TRD2023020810538,2758,60010,Pekayon Jaya,17148,Seteluk Atas,84454,10,1,REG23,,
TRD2023020903371,85860,85109,Sukodadi,30154,Padang Mulia,33681,2,3,REG23,,
TRD2023021003314,45067,2424,Sumur Batu,17148,Subaim,97863,10,1,REG23,,
TRD2023021003657,45067,2285,Sumur Batu,17148,Tepian Makmur,75683,5,7,REG23,,
TRD2023021004718,45067,2285,Sumur Batu,17148,Tepian Makmur,75683,5,7,REG23,,
TRD2023021103580,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023021103955,45067,10371,Sumur Batu,17148,Grogol,64151,3,6,REG23,,
TRD2023021305846,45067,34115,Sumur Batu,17148,Tuban,80361,1,2,REG23,,
TRD2023021306085,2046,22790,Bunigeulis,45556,Konda,98454,5,7,REG23,,
TRD2023021306088,2046,22790,Bunigeulis,45556,Konda,98454,5,7,REG23,,
TRD2023021306172,3047,4141,Padangsambian Klod/Kelod,80117,Alak,85231,1,2,REG23,,
TRD2023021306176,3047,22511,Padangsambian Klod/Kelod,80117,Gunung Sari,86116,2,3,REG23,,
TRD2023021306177,3047,4141,Padangsambian Klod/Kelod,80117,Alak,85231,1,2,REG23,,
TRD2023021307209,2046,1071,Bunigeulis,45556,Nunukan Utara,77482,3,5,REG23,,
TRD2023021307215,2046,4141,Bunigeulis,45556,Alak,85231,2,3,REG23,,
TRD2023021307756,49964,1019,Grogol,11450,Sumoli,94683,5,7,REG23,,
TRD2023021309529,45067,19522,Sumur Batu,17148,Lamika,86219,5,9,REG23,,
TRD2023021404668,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023021404802,49964,33288,Grogol,11450,Segati,28381,10,1,REG23,,
TRD2023021406168,2046,22790,Bunigeulis,45556,Konda,98454,5,7,REG23,,
TRD2023021503784,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023021503856,3047,4141,Padangsambian Klod/Kelod,80117,Alak,85231,1,2,REG23,,
TRD2023021504122,49964,33288,Grogol,11450,Segati,28381,10,1,REG23,,
TRD2023021504161,49964,33288,Grogol,11450,Segati,28381,10,1,REG23,,
TRD2023021504832,2046,22790,Bunigeulis,45556,Konda,98454,5,7,REG23,,
TRD2023021504833,2046,2424,Bunigeulis,45556,Subaim,97863,10,1,REG23,,
TRD2023021505122,45067,78216,Sumur Batu,17148,Pitulua,93915,3,5,REG23,,
TRD2023021506199,45067,4141,Sumur Batu,17148,Alak,85231,2,3,REG23,,
TRD2023021603380,88124,1277,A M P L A S,20148,Sibodak Sosa Jae,22774,3,6,REG23,,
TRD2023021603429,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023021603769,49964,23174,Grogol,11450,Letta,92415,3,5,REG23,,
TRD2023021606292,45067,34115,Sumur Batu,17148,Tuban,80361,1,2,REG23,,
TRD2023021705185,2046,10595,Bunigeulis,45556,Sukaraja,83581,6,9,REG23,,
TRD2023021802007,45067,19522,Sumur Batu,17148,Lamika,86219,5,9,REG23,,
TRD2023021802559,45067,4141,Sumur Batu,17148,Alak,85231,2,3,REG23,,
TRD2023022008971,88124,11008,A M P L A S,20148,Sirumambe,22733,1,3,REG23,,
TRD2023022009286,45067,2285,Sumur Batu,17148,Tepian Makmur,75683,5,7,REG23,,
TRD2023022009472,3047,19522,Padangsambian Klod/Kelod,80117,Lamika,86219,5,6,REG23,,
TRD2023022009968,57660,1071,Tomang,11440,Nunukan Utara,77482,3,5,REG23,,
TRD2023022011439,45067,3735,Sumur Batu,17148,Sempayang,77554,5,7,REG23,,
TRD2023022011484,45067,22569,Sumur Batu,17148,Harapan Baru,75131,2,3,REG23,,
TRD2023022104365,3047,14761,Padangsambian Klod/Kelod,80117,Oemanu,85613,10,1,REG23,,
TRD2023022105267,45067,4437,Sumur Batu,17148,Kurau Barat,33681,2,3,REG23,,
TRD2023022107226,45067,3604,Sumur Batu,17148,Kuatae,85519,5,9,REG23,,
TRD2023022305455,88124,1277,A M P L A S,20148,Sibodak Sosa Jae,22774,3,6,REG23,,
TRD2023022306673,49964,2850,Grogol,11450,Mengkenang,31453,3,6,REG23,,
TRD2023022405513,49964,2285,Grogol,11450,Tepian Makmur,75683,5,7,REG23,,
TRD2023030105413,45067,22833,Sumur Batu,17148,Klawuyuk,98418,2,4,REG23,,
TRD2023030106014,45067,19522,Sumur Batu,17148,Lamika,86219,5,9,REG23,,
TRD2023030106340,49964,2285,Grogol,11450,Tepian Makmur,75683,5,7,REG23,,
TRD2023030106350,49964,71654,Grogol,11450,Kampung Bugis,29115,1,2,REG23,,
TRD2023030106376,49964,2285,Grogol,11450,Tepian Makmur,75683,5,7,REG23,,
TRD2023030106446,49964,1019,Grogol,11450,Sumoli,94683,5,7,REG23,,
TRD2023030106541,45067,1019,Sumur Batu,17148,Sumoli,94683,5,7,REG23,,
TRD2023030106827,45067,34115,Sumur Batu,17148,Tuban,80361,1,2,REG23,,
TRD2023030207456,45067,22790,Sumur Batu,17148,Konda,98454,5,7,REG23,,
TRD2023030208549,49964,12651,Grogol,11450,Faobata,86419,3,5,REG23,,
TRD2023030305731,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023030305773,79938,3848,Padang Terubuk,28155,Tanjung Uban Utara,29152,3,4,REG23,,
