created_at,shipment_order_no,awb_number,status,logistic_id,dispatch_at,delivered_at,in_process_return,return_at
2023-07-03 11:54:58,TRD2023070304169,IDE702533879670,400,24,1688414094,0,0,0
2023-07-03 11:54:58,TRD2023070304428,IDE702664071601,500,24,1688414092,1688620008,0,0
2023-07-03 11:54:58,TRD2023070303998,IDE702143489775,500,24,1688414911,1688648874,0,0
2023-07-03 11:54:58,TRD2023070304018,IDE702716388864,500,24,1688414102,1688626713,0,0
2023-07-03 11:54:58,TRD2023070303984,IDE702737195610,602,24,1688414900,0,0,0
2023-07-03 11:54:58,TRD2023070304041,IDE702824508321,500,24,1688414112,1688630176,0,0
2023-07-03 11:54:58,TRD2023070304096,IDE702859825233,500,24,1688414112,1688640087,0,0
2023-07-03 11:54:58,TRD2023070303929,IDE702871036519,602,24,1688414101,0,0,0
2023-07-03 11:54:58,TRD2023070304142,IDE700787969182,400,24,1688414099,0,0,0
2023-07-03 11:54:58,TRD2023070304345,IDE702897404149,500,24,1688414121,1688627186,0,0
2023-07-03 11:54:58,TRD2023070304158,IDE702963358248,500,24,1688414119,1688610336,0,0
2023-07-03 11:54:58,TRD2023070304147,IDE702319234218,400,24,1688414092,0,0,0
2023-07-03 11:54:58,TRD2023070304459,IDE702668250413,400,24,1688414118,0,0,0
2023-07-03 11:54:58,TRD2023070304467,IDE703057836080,501,24,1688414895,0,0,0
2023-07-03 11:54:58,TRD2023070304047,IDE703125544965,500,24,1688414117,1688612722,0,0
2023-07-03 11:54:58,TRD2023070304300,IDE702656442182,400,24,1688414130,0,0,0
2023-07-03 11:54:58,TRD2023070304366,IDE703133258396,500,24,1688414116,1688618953,0,0
2023-07-03 11:54:58,TRD2023070304377,IDE700741402938,500,24,1688414900,1688644608,0,0
2023-07-03 11:54:58,TRD2023070304031,IDE704179326760,400,24,1688414910,0,0,0
2023-07-03 11:54:58,TRD2023070304069,IDE702238367468,501,24,1688414116,0,0,0
2023-07-03 11:54:58,TRD2023070304155,IDE702959291586,500,24,1688414091,1688608500,0,0
2023-07-03 11:54:58,TRD2023070304282,IDE701646133617,500,24,1688414097,1688630867,0,0
2023-07-03 11:54:58,TRD2023070303915,IDE703117678713,501,24,1688414132,0,0,0
2023-07-03 11:54:58,TRD2023070304390,IDE703242916889,501,24,1688414909,0,0,0
2023-07-03 11:54:58,TRD2023070303918,IDE703194380824,501,24,1688414104,0,0,0
2023-07-03 11:54:58,TRD2023070303909,IDE703365048785,602,24,1688415375,0,0,0
2023-07-03 11:54:58,TRD2023070304059,IDE703357325296,500,24,1688414101,1688642841,0,0
2023-07-03 11:54:58,TRD2023070304223,IDE703375378247,500,24,1688414094,1688632797,0,0
2023-07-03 11:54:58,TRD2023070303911,IDE703427442574,500,24,1688414102,1688627984,0,0
2023-07-03 11:54:58,TRD2023070304352,IDE703508843080,501,24,1688414126,0,0,0
2023-07-03 11:54:58,TRD2023070304277,IDE703668772165,500,24,1688414128,1688633523,0,0
2023-07-03 11:54:58,TRD2023070304016,IDE703028369994,400,24,1688414898,0,0,0
2023-07-03 11:54:58,TRD2023070304425,IDE701935386751,501,24,1688414101,0,0,0
2023-07-03 11:54:58,TRD2023070304136,IDE701981499322,400,24,1688414091,0,0,0
2023-07-03 11:54:58,TRD2023070304187,IDE701255515705,500,24,1688414091,1688628870,0,0
2023-07-03 11:54:58,TRD2023070304156,IDE704176039150,602,24,1688414103,0,0,0
2023-07-03 11:54:58,TRD2023070304411,IDE703759383675,500,24,1688414098,1688625862,0,0
2023-07-03 11:54:58,TRD2023070304085,IDE703772410069,500,24,1688414101,1688634994,0,0
2023-07-03 11:54:58,TRD2023070303933,IDE703859436580,500,24,1688414911,1688628744,0,0
2023-07-03 11:54:58,TRD2023070304166,IDE703528392067,400,24,1688414114,0,0,0
2023-07-03 11:54:58,TRD2023070304231,IDE701659044051,602,24,1688414096,0,0,0
2023-07-03 11:54:58,TRD2023070304427,IDE702910493292,500,24,1688414128,1688635216,0,0
2023-07-03 11:54:58,TRD2023070304470,IDE701040668376,400,24,1688414110,0,0,0
2023-07-03 11:54:58,TRD2023070304317,IDE700242144065,500,24,1688414098,1688641364,0,0
2023-07-03 11:54:58,TRD2023070304095,IDE701627376770,400,24,1688414102,0,0,0
2023-07-03 11:54:58,TRD2023070303982,IDE701213023284,500,24,1688414904,1688624089,0,0
2023-07-03 11:54:58,TRD2023070304299,IDE701596751698,400,24,1688414130,0,0,0
2023-07-03 11:54:58,TRD2023070304307,IDE703987409070,500,24,1688414098,1688645623,0,0
2023-07-03 11:54:58,TRD2023070304052,IDE703930686464,400,24,1688414132,0,0,0
2023-07-03 11:54:58,TRD2023070303990,IDE704047160913,500,24,1688414902,1688617651,0,0
2023-07-03 11:54:58,TRD2023070304050,IDE700704660574,501,24,1688414118,0,0,0
2023-07-03 11:54:58,TRD2023070304328,IDE701159716263,500,24,1688414096,1688623686,0,0
2023-07-03 11:54:58,TRD2023070304076,IDE704167637704,400,24,1688414102,0,0,0
2023-07-03 11:54:58,TRD2023070304465,IDE704192840785,500,24,1688414129,1688616726,0,0
2023-07-03 11:54:58,TRD2023070304092,IDE704140156834,501,24,1688414094,0,0,0
2023-07-03 11:54:58,TRD2023070304244,IDE704264322395,500,24,1688414129,1688544452,0,0
2023-07-03 11:54:58,TRD2023070304089,IDE704119068850,500,24,1688414901,1688616358,0,0
2023-07-03 11:54:58,TRD2023070303976,IDE704211817821,400,24,1688414101,0,0,0
2023-07-03 11:54:58,TRD2023070304445,IDE700423974154,500,24,1688414896,1688548629,0,0
2023-07-03 11:54:58,TRD2023070304211,IDE704262428771,602,24,1688414094,0,0,0
2023-07-03 11:54:58,TRD2023070304053,IDE701008049017,400,24,1688414132,0,0,0
2023-07-03 11:54:58,TRD2023070304437,IDE701070187563,400,24,1688414116,0,0,0
