Id,provinceId,Pulau,provinceName,typeLabel,cityName,Daerah,Latitude,Longitude,postalCode,regionWage,population,marketValue,probability
108,18,Sumatera,Lampung,Kabupaten,Pesisir Barat,Kabupaten Pesisir Barat,-2.651421,101.132202,34877,2633284,164816,434089386144,0.00142
109,18,Sumatera,Lampung,Kabupaten,Pringsewu,Kabupaten Pringsewu,-5.364748,104.972015,35376,2633284,408415,1075036188680,0.00351
110,18,Sumatera,Lampung,Kabupaten,Tanggamus,Kabupaten Tanggamus,-5.351673,104.751878,35611,2633284,652898,1716192526032,0.00561
111,18,Sumatera,Lampung,Kabupaten,Tulang Bawang,Kabupaten Tulang Bawang,-4.522042,105.205173,34611,2635078,431208,1135082647264,0.00371
112,18,Sumatera,Lampung,Kabupaten,Tulang Bawang Barat,Kabupaten Tulang Bawang Barat,-4.542288,104.909314,34388,2635078,289620,762015262360,0.00249
113,18,Sumatera,Lampung,Kabupaten,Way Kanan,Kabupaten Way Kanan,-4.112872,104.488548,34764,2847450,481036,1369899976700,0.00448
114,21,Sumatera,Aceh,Kabupaten,Aceh Barat,Kabupaten Aceh Barat,4.393488,96.728292,23681,3413666,202858,693303717228,0.00227
115,21,Sumatera,Aceh,Kabupaten,Aceh Barat Daya,Kabupaten Aceh Barat Daya,3.779372,97.609232,23764,3413666,155046,529377548836,0.00173
116,21,Sumatera,Aceh,Kabupaten,Aceh Besar,Kabupaten Aceh Besar,5.506105,95.36854,24382,3413666,414490,1415544789340,0.00463
117,21,Sumatera,Aceh,Kabupaten,Aceh Jaya,Kabupaten Aceh Jaya,-3.6872,97.282356,23654,3413666,96028,328308092648,0.00107
118,21,Sumatera,Aceh,Kabupaten,Aceh Selatan,Kabupaten Aceh Selatan,3.311304,97.222096,23711,3413666,237376,810276233216,0.00265
119,21,Sumatera,Aceh,Kabupaten,Aceh Singkil,Kabupaten Aceh Singkil,2.494228,97.917348,24786,3413666,130787,446678038362,0.00146
120,21,Sumatera,Aceh,Kabupaten,Aceh Tamiang,Kabupaten Aceh Tamiang,4.065084,97.967821,24476,3456603,301492,1041343891076,0.00340
121,21,Sumatera,Aceh,Kabupaten,Aceh Tengah,Kabupaten Aceh Tengah,4.634051,96.916392,24511,3413666,222673,760402282118,0.00249
122,21,Sumatera,Aceh,Kabupaten,Aceh Tenggara,Kabupaten Aceh Tenggara,3.263524,97.792933,24651,3413666,228308,779529123728,0.00255
123,21,Sumatera,Aceh,Kabupaten,Aceh Timur,Kabupaten Aceh Timur,4.676605,97.90675,24413,3413666,432849,1477333788834,0.00483
124,21,Sumatera,Aceh,Kabupaten,Aceh Utara,Kabupaten Aceh Utara,4.981445,97.438202,24311,3413666,614640,2098600645840,0.00686
125,21,Sumatera,Aceh,Kota,Banda Aceh,Kota Banda Aceh,5.54829,95.323755,23242,3413666,257635,880288773510,0.00288
